FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1471	20160406_L_VC_ColF18_Exp17_01.mzML	11430.822096	11437.934303	2	7320.56	7337.09	16.5375	7320.56	3.72144e+07	2.09484e+07	9	15	7	0.966726	0.986709
1472	20160406_L_VC_ColF18_Exp17_01.mzML	11782.070025	11789.402144	30	1629.58	1661.79	32.2032	1637.48	3.33126e+08	2.0811e+07	7	21	15	0.995917	0.862603
1473	20160406_L_VC_ColF18_Exp17_01.mzML	24531.610187	24546.940304	2	6874.31	6911	36.6873	6874.31	3.65251e+07	2.07029e+07	21	35	12	0.855487	0.832202
1474	20160406_L_VC_ColF18_Exp17_01.mzML	7802.289322	7807.180483	2	2158.54	2170.53	11.9957	2158.54	2.76277e+07	2.06905e+07	9	14	6	0.945333	0.991785
1475	20160406_L_VC_ColF18_Exp17_01.mzML	14859.991181	14869.307461	2	6683.02	6746.87	63.8504	6746.87	3.58153e+07	2.06463e+07	13	19	7	0.973902	0.940903
1476	20160406_L_VC_ColF18_Exp17_01.mzML	13707.416734	13715.975836	2	1747.95	1785.34	37.3926	1747.95	3.30544e+07	2.04285e+07	18	24	7	0.948346	0.980498
1477	20160406_L_VC_ColF18_Exp17_01.mzML	6234.572280	6238.429173	4	988.673	1011.86	23.1906	988.673	6.93722e+07	2.03585e+07	7	11	5	0.976706	0.99207
1478	20160406_L_VC_ColF18_Exp17_01.mzML	8905.614363	8911.146536	2	2621.4	2634.38	12.9817	2634.38	3.37516e+07	2.03526e+07	10	15	6	0.974871	0.984507
1479	20160406_L_VC_ColF18_Exp17_01.mzML	13729.110957	13737.684190	2	7432.61	7464.37	31.7621	7464.37	3.93534e+07	2.03244e+07	10	21	10	0.972714	0.695592
1480	20160406_L_VC_ColF18_Exp17_01.mzML	60934.257163	60972.376499	2	7027.03	7038.01	10.9785	7027.03	3.79543e+07	2.00529e+07	44	96	21	0.817964	0.596804
1481	20160406_L_VC_ColF18_Exp17_01.mzML	8784.675899	8790.141343	4	6621.36	6771.36	150	6771.36	7.14578e+07	1.98665e+07	7	13	7	0.935245	0.974968
1482	20160406_L_VC_ColF18_Exp17_01.mzML	38227.978231	38251.843469	2	7506.06	7529.92	23.8676	7506.06	3.27268e+07	1.98403e+07	32	58	16	0.85062	0.741686
1483	20160406_L_VC_ColF18_Exp17_01.mzML	11200.225774	11207.208174	2	2501.42	2538.58	37.1638	2501.42	2.66365e+07	1.98291e+07	11	16	6	0.861505	0.980859
1484	20160406_L_VC_ColF18_Exp17_01.mzML	6439.583137	6443.558645	4	1971.63	2061.05	89.4157	1971.63	4.23924e+07	1.96724e+07	6	11	6	0.94276	0.995785
1485	20160406_L_VC_ColF18_Exp17_01.mzML	11429.574036	11436.686243	2	7221.07	7271.03	49.9653	7221.07	3.24852e+07	1.94085e+07	8	14	7	0.942472	0.960638
1486	20160406_L_VC_ColF18_Exp17_01.mzML	7890.883102	7895.815490	2	2062.3	2073.24	10.9361	2073.24	3.02453e+07	1.92754e+07	6	13	8	0.927654	0.964831
1487	20160406_L_VC_ColF18_Exp17_01.mzML	10006.881545	10013.149750	3	2061.05	2084.13	23.0835	2073.24	4.37717e+07	1.91889e+07	7	17	8	0.989814	0.988068
1488	20160406_L_VC_ColF18_Exp17_01.mzML	4510.403059	4513.246111	4	1703.27	1722.07	18.7938	1714.36	5.37087e+07	1.91873e+07	4	8	5	0.986525	0.975674
1489	20160406_L_VC_ColF18_Exp17_01.mzML	10265.584707	10272.010035	2	2619.69	2629.81	10.1152	2629.81	3.69286e+07	1.90673e+07	14	18	5	0.868683	0.892742
1490	20160406_L_VC_ColF18_Exp17_01.mzML	7878.870406	7883.789302	6	2009.27	2044.38	35.1151	2009.27	6.91476e+07	1.90655e+07	6	13	8	0.979405	0.955058
1491	20160406_L_VC_ColF18_Exp17_01.mzML	6277.532052	6281.413834	3	1045.25	1060.49	15.2382	1054.39	4.70349e+07	1.90425e+07	6	11	5	0.973047	0.996266
1492	20160406_L_VC_ColF18_Exp17_01.mzML	20204.636542	20217.312506	2	6994.24	7006.28	12.0373	7006.28	3.19337e+07	1.90013e+07	18	32	10	0.86055	0.847509
1493	20160406_L_VC_ColF18_Exp17_01.mzML	13690.368384	13698.913998	6	1866.76	1893.11	26.3542	1875.17	1.00331e+08	1.88614e+07	13	24	11	0.96176	0.994848
